systematic_number,title_de,hauptgruppe,cluster_tfidf,cluster_w2v,cluster_tfidf_9,cluster_w2v_9
140.110,Gleichstellungsverordnung,1,1,13,6,4
190.100,Gesetz betreffend die Staatsoberaufsicht über die öffentlich-rechtlichen Kirchen und die Israelitische Gemeinde sowie über die Verwendung von Staats- und Gemeindemitteln zu Kirchenzwecken,1,1,1,0,2
230.700,"Uebereinkunft zwischen der Schweizerischen Eidgenossenschaft und der Krone Württemberg, betreffend die Konkursverhältnisse und gleiche Behandlung der beyderseitigen Staatsangehörigen in Konkursfällen.",2,1,1,0,2
230.900,Gesetz betreffend das Gantwesen,2,1,16,0,2
300.100,Gesundheitsgesetz,3,1,5,8,6
310.120,Verordnung über die Fachpersonen und Betriebe im Gesundheitswesen,3,1,5,8,6
310.125,Kantonale Verordnung über die Förderung der Ausbildung im Bereich der Pflege,3,1,5,8,8
390.100,Bestattungsgesetz,3,1,17,0,2
390.500,Verordnung über Gebühren im Bestattungswesen,3,1,17,6,1
390.720,"Vertrag betreffend die Kremation von Leichen aus dem Kanton Basel-Landschaft und die Abdankung im Krematorium der Stadt Basel zwischen dem Kanton Basel-Stadt, vertreten durch seinen Regierungsrat, handelnd aufgrund von § 17 des Gesetzes betreffend die Bestattungen, und dem Kanton Basel-Landschaft namens dessen Gemeinden, vertreten durch den Regierungsrat, handelnd aufgrund seines Aufsichtsrechtes gemäss § 1 des Gesetzes über das Begräbniswesen",3,1,17,0,2
590.100,Gesetz betreffend die Feuerwehr des Kantons Basel-Stadt,5,1,19,6,6
590.110,Verordnung zum Gesetz betreffend die Feuerwehr des Kantons Basel-Stadt,5,1,0,6,1
610.100,Gesetz über den kantonalen Finanzhaushalt,6,1,2,5,5
650.100,Gesetz über die Handänderungssteuer,6,1,16,0,2
650.500,Gesetz über die Besteuerung der Motorfahrzeuge,6,1,11,6,1
740.110,Verordnung zum Enteignungsgesetz,7,1,16,0,2
415.170,Richtlinie betreffend die Tätigkeit und Organisation des Jungen Rates,4,1,13,6,8
415.500,Weisung betreffend die Vergütung für die Leitung von freiwilligen Kursen und ähnlichen Angeboten sowie für Tätigkeiten in Verbindung mit Jugend und Sport,4,1,0,6,8
419.300,"Verordnung über Studien-, Kurs- und Verwaltungsgebühren in der kantonalen Berufsbildung",4,0,14,6,7
419.810,Interkantonale Vereinbarung über Beiträge an die Bildungsgänge der höheren Fachschulen,4,1,5,0,5
