,systematic_number,title_de,token_count,outlier_tfidf,outlier_w2v,outlier_short,outlier_score,exclude
0,330.500,Entfernung der Spitalliste aus der Gesetzessammlung,28,False,False,False,0,False
1,333.200,"Staatsvertrag zwischen den Kantonen Basel-Stadt und Basel-Landschaft betreffend Planung, Regulation und Aufsicht in der Gesundheitsversorgung",476,False,False,False,0,False
2,339.220,Verordnung über die von der Sanität Basel zu erhebenden Gebühren,222,False,False,False,0,False
3,351.100,Vollziehungsverordnung zum Bundesgesetz über Lebensmittel und Gebrauchsgegenstände,178,False,False,False,0,False
4,361.300,Verordnung über die Bekämpfung von Tierseuchen,337,False,False,False,0,False
5,365.520,"Vereinbarung über eine gemeinsame Tierversuchskommission der Kantone Basel-Stadt, Basel-Landschaft und Aargau",79,False,False,False,0,False
6,369.200,Reglement für den Betrieb einer Tierkörpersammelstelle (TKS),139,False,False,False,0,False
7,371.100,Sportgesetz,233,False,False,False,0,False
8,410.130,"Verordnung über den Schulbesuch, die Absenzen, Dispensationen und Disziplinarmassnahmen",848,False,True,False,1,False
9,410.180,Konkordat über die Schulkoordination,149,False,False,False,0,False
10,410.500,Ordnung für den Religionsunterricht,137,False,False,False,0,False
11,411.200,Verordnung über die Schulkommissionen der weiterführenden Schulen,231,False,False,False,0,False
12,411.450,Ordnung über Auftrag und Arbeitszeit der Lehrpersonen,203,False,False,False,0,False
13,413.630,Verordnung über die Abschlüsse an der Fachmaturitätsschule Basel-Stadt,932,True,False,False,1,False
14,413.820,Verordnung betreffend die Maturitätsprüfungen im Kanton Basel-Stadt,803,False,False,False,0,False
15,414.200,Verordnung über die Abgabe von Lehrmitteln und Verbrauchsmaterialien,112,False,False,False,0,False
16,414.300,Ordnung für das Verfahren bei der Beschaffung von Lehrmitteln,60,False,False,False,0,False
17,415.100,Gesetz betreffend Förder- und Hilfeleistungen für Kinder und Jugendliche,380,False,False,False,0,False
18,415.170,Richtlinie betreffend die Tätigkeit und Organisation des Jungen Rates,110,False,False,False,0,False
19,415.500,Weisung betreffend die Vergütung für die Leitung von freiwilligen Kursen und ähnlichen Angeboten sowie für Tätigkeiten in Verbindung mit Jugend und Sport,152,False,False,False,0,False
20,419.300,"Verordnung über Studien-, Kurs- und Verwaltungsgebühren in der kantonalen Berufsbildung",191,False,False,False,0,False
21,419.810,Interkantonale Vereinbarung über Beiträge an die Bildungsgänge der höheren Fachschulen,379,False,False,False,0,False
22,419.900,Interkantonale Vereinbarung über die Anerkennung von Ausbildungsabschlüssen,441,False,False,False,0,False
23,419.902,Reglement des Schweizerischen Roten Kreuzes (SRK) über die Anerkennung kantonaler Ausbildungsabschlüsse,169,False,False,False,0,False
24,419.904,Reglement des SRK über die Anerkennung von ausländischen Ausbildungsabschlüssen,236,False,False,False,0,False
25,421.770,Verordnung betreffend den Ausbildungsgang Gestalter oder Gestalterin an der Schule für Gestaltung,322,False,False,False,0,False
26,423.200,Verordnung über den Lehrgang «Frühe sprachliche Förderung – Schwerpunkt Deutsch»,412,False,False,False,0,False
27,427.100,Verordnung über das Bildungszentrum Gesundheit Basel-Stadt (BZG),356,False,False,False,0,False
28,427.150,Vertrag zwischen den Kantonen Basel-Landschaft und Basel-Stadt über die Abgeltung der Kosten der nicht akademischen Berufsausbildungen im Gesundheitswesen auf Sekundarstufe II und auf Tertiärstufe,173,False,False,False,0,False
29,427.800,Reglement über die Ausbildung und Lehrabschlussprüfung für gelernte Matrosen und Matrosinnen der Binnenschifffahrt,660,False,False,False,0,False
30,427.930,Verordnung über den Bildungsgang zur diplomierten Fachfrau für medizinisch technische Radiologie HF / zum diplomierten Fachmann für medizinisch technische Radiologie HF,473,False,False,False,0,False
31,428.710,Studien- und Prüfungsreglement für Schulische Heilpädagogik,519,False,False,False,0,False
32,442.410,Vereinbarung über das Immobilienwesen der Universität Basel,690,False,False,False,0,False
33,452.300,Verordnung betreffend die Erhebung von Gebühren durch das Staatsarchiv,69,False,False,False,0,False
34,491.100,Gesetz betreffend Ausbildungsbeiträge,381,False,False,False,0,False
35,494.300,Kulturfördergesetz,177,False,False,False,0,False
36,494.350,Verordnung für die Verleihung des Kulturpreises des Kantons Basel-Stadt,52,False,False,False,0,False
37,494.400,Ordnung für den Preis der Universität Basel,166,False,False,False,0,False
38,497.300,Denkmalverzeichnis,11,False,True,True,2,True
39,510.150,Kantonale Verordnung über Massnahmen zur Unterstützung der Sicherheit von Minderheiten mit besonderen Schutzbedürfnissen,90,False,False,False,0,False
40,510.900,"Verwaltungsvereinbarung zwischen dem Kanton Basel-Stadt, vertreten durch das Sicherheitsdepartement, und der Schweizerischen Eidgenossenschaft, vertreten durch das Finanzdepartement, über die Zusammenarbeit zwischen der Kantonspolizei Basel-Stadt und dem Grenzwachtkorps bzw. der Eidgenössischen Zollverwaltung",273,False,False,False,0,False
41,519.400,Verordnung über die Beglaubigungsgebühren sowie die Gebühren auf dem Gebiet der Einwohnerkontrolle und des Ausländerrechts,142,False,False,False,0,False
42,519.800,Verordnung über die Gebühren des Instituts für Rechtsmedizin,48,False,False,False,0,False
43,561.105,Verordnung zum Einführungsgesetz zum Bundesgesetz über Geldspiele,329,False,False,False,0,False
44,772.400,Ausführungsbestimmungen von IWB Industrielle Werke Basel für Leistungen im Bereich Elektrizität,3340,True,True,False,2,False
45,772.530,Gebührentarif der IWB Industrielle Werke Basel betreffend Gas,215,False,False,False,0,False
46,772.600,Ausführungsbestimmungen von IWB Industrielle Werke Basel betreffend die Abgabe von Fernwärme,1345,False,True,False,1,False
47,772.800,Ausführungsbestimmungen von IWB Industrielle Werke Basel betreffend die Abgabe von Trinkwasser,1421,False,True,False,1,False
48,780.200,Verordnung über die Umweltverträglichkeitsprüfung im Kanton Basel-Stadt,154,False,False,False,0,False
49,780.300,Verordnung über den Mobilitätsfonds,462,False,False,False,0,False
50,781.200,Verordnung über die Lufthygiene,132,False,False,False,0,False
51,783.400,Gesetz über Grundwasserschutzzonen,192,False,False,False,0,False
52,783.410,Verordnung über Grundwasserschutzzonen und Gewässerschutzbereiche,441,False,False,False,0,False
53,784.740,"Vertrag zwischen dem Kanton Basel-Stadt und dem Wieseverband, Sitz in Lörrach, betreffend das Durchleitungsrecht für den Abwasserhauptsammler im Gebiet des Schlipf, auf dem rechten Ufergelände der Wiese im Kanton Basel-Stadt (Gemeinde Riehen) und den Anschluss der Kanalisation des rechtsuferigen Wiesegeländes der Gemeinde Riehen, mit Ausnahme der Zollfreien Strasse Lörrach-Weil, an den Abwasserhauptsammler und Reinigung des Abwassers in der Abwasserreinigungsanlage Bändlegrund des Wieseverbandes",284,False,False,False,0,False
54,785.700,Vertrag zwischen dem Kanton Basel-Stadt und dem Kanton Basel-Landschaft betreffend die gemeinsame Durchführung von Gewässerschutzmassnahmen,419,False,False,False,0,False
55,785.740,"Vertrag zwischen 1. Kanton Basel-Stadt vertreten durch den Regierungsrat, der Regierungsrat gleichzeitig handelnd für die Einwohnergemeinde der Stadt Basel 2. Kanton Basel-Landschaft vertreten durch den Regierungsrat 3. Einfacher Gesellschaft, bestehend aus a) BASF Schweiz AG, Basel b) F. Hoffmann-La Roche AG, Basel c) Huntsman Advanced Materials (Switzerland) GmbH, Basel d) Novartis Pharma AG, Basel e) Syngenta Crop Protection AG, Basel betreffend den gemeinsamen Betrieb von Abwasserreinigungsanlagen",912,False,False,False,0,False
56,786.300,Vereinbarung zwischen den Kantonen Basel-Stadt und Basel-Landschaft über die Annahme von Abfällen in der Kehrichtverwertungsanlage Basel und der Deponie Elbisgraben,192,False,False,False,0,False
57,786.310,Umsetzungsvertrag zwischen den Kantonen Basel-Stadt und Basel-Landschaft über die Annahme von Abfällen in der Kehrichtverwertungsanlage Basel (KVA) und von Verbrennungsrückständen aus der KVA auf der Deponie Elbisgraben,296,False,False,False,0,False
58,786.360,"Vertrag zwischen dem Kanton Basel-Stadt, vertreten durch den Regierungsrat, einerseits, und der Stadt Weil am Rhein, vertreten durch den Bürgermeister, anderseits, betreffend die Verwertung und Vernichtung von Abfallstoffen",186,False,False,False,0,False
59,789.710,Baumschutzverordnung,174,False,False,False,0,False
60,812.200,Gesetz über den kantonalen Mindestlohn,160,False,False,False,0,False
61,812.600,Verordnung über die Organisation der Bekämpfung der Schwarzarbeit im Kanton Basel-Stadt,151,False,False,False,0,False
62,813.300,Gesetz betreffend das ständige staatliche Einigungsamt,1147,False,False,False,0,False
63,815.150,Verordnung betreffend ergänzende Beiträge für die frühkindliche Förderung in Spielgruppen mit Deutschförderung,131,False,False,False,0,False
64,819.410,Gesetz über die steuerbegünstigten Arbeitsbeschaffungsreserven,112,False,False,False,0,False
65,819.872,Verordnung 2 betreffend Gewährung von kantonalen Start-up-Bürgschaften infolge COVID-19-Pandemie,313,False,False,False,0,False
66,819.878,Dringlicher Grossratsbeschluss über Massnahmen für Publikumsanlässe von überkantonaler Bedeutung im Zusammenhang mit der Covid-19-Epidemie,73,False,False,False,0,False
67,819.879.001,Verordnung betreffend Unterstützungsprogramm für Gastronomie und Hotellerie im Zusammenhang mit der Covid-19-Pandemie,303,False,False,False,0,False
68,832.200,Einführungsgesetz zum Bundesgesetz über die Alters- und Hinterlassenenversicherung,184,False,False,False,0,False
69,832.500,Einführungsgesetz zum Bundesgesetz über die Invalidenversicherung für eine IV-Stelle Basel-Stadt,205,False,False,False,0,False
70,832.700,"Gesetz über die Einführung des Bundesgesetzes über die Ergänzungsleistungen zur Alters-, Hinterlassenen- und Invalidenversicherung sowie über die Ausrichtung von kantonalen Beihilfen",446,False,False,False,0,False
71,832.710,"Verordnung betreffend Ergänzungsleistungen und kantonale Beihilfen zur Alters-, Hinterlassenen- und Invalidenversicherung",422,False,False,False,0,False
72,833.100,Vertrag zwischen den Kantonen Basel-Stadt und Basel-Landschaft über die BVG- und Stiftungsaufsicht beider Basel,469,False,False,False,0,False
73,833.110,Ordnung über die berufliche Vorsorge,275,False,False,False,0,False
74,834.800,Verordnung zum Bundesgesetz über die Unfallversicherung (UVG),148,False,False,False,0,False
75,835.510,Verordnung betreffend kantonale Arbeitslosenhilfe,205,False,False,False,0,False
76,861.520,Verordnung über die Wohnraumförderung,641,False,False,False,0,False
77,861.540,Verordnung über den Schutz von Wohnraum,1014,False,False,False,0,False
78,861.625,Mietreglement der Stiftung für preisgünstigen Wohnraum Basel-Stadt,502,False,False,False,0,False
79,869.100,Interkantonale Vereinbarung für soziale Einrichtungen,853,False,False,False,0,False
80,869.204,Grossratsbeschluss betreffend Gewährung eines Staatsbeitrages und einer I. Hypothek an die Erstellungskosten einer Alterssiedlung des Gemeinnützigen Vereins für Alterswohnungen an der Gundeldingerstrasse,99,False,False,False,0,False
81,869.210,Grossratsbeschluss betreffend die Gewährung eines Staatsbeitrages an die Erstellungskosten von Alterswohnungen der Heilsarmee an der Breisacherstrasse 45,98,False,False,False,0,False
82,869.301,Grossratsbeschluss betreffend Gewährung eines Staatsbeitrages an die Erstellungskosten eines Wohn- und Freizeitheimes des Christlichen Vereins junger Frauen Basel am Spalentorweg 10,90,False,False,False,0,False
83,685.100,Grossratsbeschluss betreffend Anlage und Betrieb von öffentlichen Materiallagerplätzen auf dem Dreispitz,34,False,False,False,0,False
84,685.360,Kanalisationsreglement für die Dreispitzverwaltung Basel,166,False,False,False,0,False
85,691.100,Interkantonale Vereinbarung über den Salzverkauf in der Schweiz,138,False,False,False,0,False
86,695.110,Verordnung zum Gebäudeversicherungsgesetz,352,False,False,False,0,False
87,717.100,Gesetz über die Ermittlung von Grundstückwerten,135,False,False,False,0,False
88,721.820,Vertrag zwischen der Schweizerischen Eidgenossenschaft und der Bundesrepublik Deutschland über den Autobahnzusammenschluss im Raum Basel und Weil am Rhein,920,False,False,False,0,False
89,724.110,Verordnung zum Gesetz über die Nutzung des öffentlichen Raumes,1204,False,False,False,0,False
90,724.500,Verordnung über die Strassenprostitution,29,False,False,False,0,False
91,730.110,Bau- und Planungsverordnung,2157,True,False,False,1,False
92,730.115,Ausführungsbestimmungen zur Bau- und Planungsverordnung,1752,False,False,False,0,False
93,735.250,Reglement betreffend Reinigungsintervalle für Feuerungsanlagen,143,False,False,False,0,False
94,735.400,Verordnung über die Gebühren der Feuerpolizei,186,False,False,False,0,False
95,771.610,Convention pour le règlement des rapports entre la Suisse et la France au sujet de certaines clauses du régime juridique de la future dérivation de Kembs,878,False,True,False,1,False
96,771.920,Verordnung betreffend die Wässerungsverhältnisse am Riehenteich,174,False,False,False,0,False
97,772.100,Energiegesetz,1256,False,False,False,0,False
98,772.110,Verordnung zum Energiegesetz,2387,True,False,False,1,False
99,RiE 980.110,Reglement für die Vergabekommission Entwicklungszusammenarbeit,82,False,False,False,0,False
100,140.110,Gleichstellungsverordnung,97,False,False,False,0,False
101,190.100,Gesetz betreffend die Staatsoberaufsicht über die öffentlich-rechtlichen Kirchen und die Israelitische Gemeinde sowie über die Verwendung von Staats- und Gemeindemitteln zu Kirchenzwecken,263,False,False,False,0,False
