token,index
a-zug,0
aargau,1
abbau,2
abberufen,3
abberufung,4
abbruch,5
abdankung,6
abdankungsfeier,7
abdecken,8
abends,9
abfall,10
abfallanlag,11
abfallbeseitigung,12
abfindung,13
abführen,14
abgabekommission,15
abgabepflicht,16
abgabepflichtig,17
abgeben,18
abgegeben,19
abgegolten,20
abgeltung,21
abgeltungsbeitrag,22
abgeschlossen,23
abgezogen,24
abgeändern,25
abgrenzung,26
abhalten,27
abhaltung,28
abhängig,29
abhängigkeit,30
abklären,31
abklärung,32
abklärungsstelle,33
abkommen,34
ablaufen,35
ablegen,36
ablehnen,37
ablehnung,38
ableitung,39
ablesung,40
abliefern,41
ablieferung,42
abmachung,43
abmeldung,44
abnahme,45
abnehmen,46
abordnen,47
abrechnen,48
abrechnung,49
abschliessen,50
abschliessend,51
abschlussprüfung,52
abschluß,53
abschn,54
abschnitt,55
abschreiben,56
abschreibung,57
abschrift,58
absehbar,59
absehen,60
absenze,61
absenzen,62
absicht,63
absichtlich,64
absolut,65
absolvieren,66
absolviert,67
absolvierung,68
absprache,69
abstand,70
absteckung,71
abstellen,72
abstellplatz,73
abstimmen,74
abstimmung,75
absätze,76
abteilungsvorsteher,77
abtransport,78
abtrennen,79
abtreten,80
abtretung,81
abwasser,82
abwasseranlag,83
abwassergebühr,84
abwasserreinigung,85
abwasserreinigungsanlag,86
abwasserreinigungsanlage,87
abweichen,88
abweichende,89
abweichung,90
abweisen,91
abweisung,92
abwesenheit,93
abwichen,94
abwicklung,95
abwässer,96
abziehbar,97
abziehen,98
abzug,99
abzuschliessen,100
abzüglich,101
abänderung,102
accord,103
achten,104
administration,105
administrativ,106
adoption,107
adresse,108
advokaturgesetz,109
agglomeration,110
ags,111
ahv,112
ahvg,113
ainsi,114
akademisch,115
akkreditiert,116
akkreditierung,117
akontozahlung,118
akt,119
akte,120
akteneinsicht,121
aktenstudium,122
akteur,123
aktie,124
aktiengesellschaft,125
aktion,126
aktionär,127
aktiv,128
aktive,129
aktivität,130
aktuell,131
alkohol,132
alleinig,133
alleinstehend,134
allenfalls,135
allgemeinbildend,136
allgemeinheit,137
alljährlich,138
allmend,139
allmendverwaltung,140
alltag,141
alt,142
alter,143
alternativ,144
alternierend,145
altersgrenze,146
altersjahr,147
alterswohnung,148
altrechtlich,149
ambulant,150
amortisation,151
amts,152
amtsgeheimnis,153
amtshandlung,154
amtshilfe,155
amtsjahr,156
amtsjahre,157
amtsperiode,158
amtsstelle,159
amtstierärztlich,160
amtszeit,161
analog,162
analyse,163
analysieren,164
analytik,165
anbau,166
anbieten,167
anbieter,168
anbieterinn,169
anbringen,170
andererseits,171
andernfalls,172
anderseits,173
anderslautend,174
anderweitig,175
androhung,176
anerkennen,177
anerkennung,178
anerkennungsabkommen,179
anerkennungsbehörde,180
anerkennungsprämie,181
anerkennungsreglement,182
